host,ra,dec,id,period,color,mag,mag_err,offset,bias,phase,metallicity,flag,src
N3982-R,179.09459,55.11199,9584,61.79,1.16,24.59,0.24,0.48,0.15,-0.07,8.39,rej,1m
N3982-Y,179.12839,55.13052,12782,24.11,1.11,25.47,0.46,1.53,0.85,-0.14,8.99,,1m
N3982-Y,179.1224,55.13018,2002,37.57,1.35,22.81,0.37,1.07,0.42,-0.08,9.14,rej,1m
N3982-Y,179.124,55.12933,1434,75.4,1.86,22.33,0.25,0.69,0.21,-0.06,9.14,rej,1m
N3982-Y,179.13114,55.13153,32,29.53,0.89,23.9,0.5,1 O. 4,0.13,0,8.88,rej,ps
N3021-B,147.72778,33.54702,30672,13.92,0.48,25.88,0.37,0.87,0.24,-0.04,8.29,low P,1m
N3021-B,147.73211,33.54878,26946,26.84,0.85,25.04,0.32,0.95,0.22,0.04,8.76,,1m
N3021-B,147.72812,33.5475,30428,32.6,0.78,25.03,0.3,1.08,0.17,-0.01,8.37,,1m
N3021-B,147.73249,33.54885,26545,39.57,0.87,24.79,0.34,4.08,0.08,0.05,8.79,,1m
N3021-C,147.72678,33.55614,32088,25.77,0.98,26.35,0.59,1.79,0.59,-0.03,8.89,rej,1m
N3021-C,147.72586,33.55581,32375,24.01,0.82,24.46,0.45,1.37,0.11,-0.01,8.82,rej,1m
N3021-C,147.72645,33.56,32380,25.18,0.72,25.27,0.31,0.91,0.08,-0.09,8.69,,1m
N3021-C,147.72789,33.55893,31803,37.27,0.89,25.3,0.28,1.04,-0.16,-0.05,8.83,,1m
N3021-G,147.74838,33.55002,8621,15.37,0.75,25.94,0.64,3.49,0.7,-0.06,8.94,low P,1m
N3021-G,147.74935,33.5517,8102,18.71,0.62,26.1,0.47,2.77,0.48,0.08,8.9,low P,1m
N3021-G,147.74871,33.55237,8636,24.36,0.72,24.91,0.6,4.36,0.1,-0.02,8.93,,1m
N3021-G,147.74791,33.55032,9028,31.89,0.72,24.7,0.32,1.53,0.6,0.13,8.98,,1m
N3021-G,147.74757,33.55109,9402,39.77,1.15,23.98,0.33,5.43,0.13,0.12,9.02,rej,1m
N3021-G,147.7474,33.55142,9611,40.49,0.63,25.3,0.49,3.2,0.05,0.05,9.04,,1m
N3021-G,147.74683,33.5517,10203,95.91,0.85,24.05,0.25,5.58,0.13,0,9.08,,1m
N3021-G,147.75116,33.55414,7098,82.66,0.72,24.18,0.25,0.55,0.12,0,8.67,,1m
N3021-G,147.74734,33.55075,9558,88.18,1.43,23.96,0.25,1.28,0.33,-0.05,9.03,,1m
N3021-R,147.73688,33.5593,23149,32.52,0.92,25.59,0.4,2.34,0.37,0.06,8.92,,1m
N3021-R,147.73982,33.56093,19817,68.61,1.06,23.47,0.24,0.66,0.18,-0.02,8.61,,1m
N1309-B,50.51322,-15.4039,52566,47.41,0.53,24.79,0.43,0.64,0.12,-0.01,8.7,,1m
N1309-B,50.5135,-15.39881,52170,47.99,0.97,24.63,0.24,0.39,0.07,-0.01,8.73,,1m
N1309-B,50.51202,-15.39909,53187,59.75,0.57,24.91,0.35,0.81,0.14,0,8.68,,1m
N1309-B,50.51648,-15.40236,49485,74.19,0.39,23.72,0.37,0.24,-0.05,0.01,8.83,,1m
N1309-C,50.53598,-15.41296,6737,25.45,0.71,26.03,0.33,3.53,0.03,0.03,8.77,low P,1m
N1309-C,50.53585,-15.41538,7224,30.9,0.82,25.23,0.31,0.71,0.06,0.09,8.7,low P,1m
N1309-C,50.53524,-15.41099,7989,39.41,0.9,24.7,0.24,1.33,0.17,-0.06,8.85,,1m
N1309-C,50.53574,-15.41413,59151,32.61,0.59,24.85,0.22,4.19,0.01,-0.02,8.74,low P,1m
N1309-C,50.53701,-15.41209,4882,48.91,0.76,25.25,0.19,0.11,0.12,-0.05,8.78,,1m
N1309-C,50.53606,-15.41233,6542,59.12,0.92,24.57,0.22,0.45,0.12,-0.03,8.79,,1m
N1309-C,50.53598,-15.41154,6581,58.98,0.79,24.82,0.22,0.36,0.11,0.12,8.82,,1m
N1309-C,50.53554,-15.4141,7702,73.76,0.86,24.36,0.25,0.06,0.18,-0.04,8.74,,1m
N1309-G,50.54017,-15.39411,2032,42.53,0.72,24.91,0.26,0.74,0.11,-0.03,8.85,,1m
N1309-G,50.54164,-15.39645,1166,41.11,1.1,24.84,0.44,4.43,-0.23,0.05,8.83,,1m
N1309-Y,50.52816,-15.40843,23076,30.66,0.82,25.99,0.49,2.33,0.52,0,9,low P,1m
N1309-Y,50.52525,-15.40856,30349,33.51,0.61,26.04,0.68,3.78,-0.22,0,8.96,"rej,low P",1m
N1309-Y,50.53148,-15.40689,15346,46.85,0.81,25.53,0.51,1.63,0.13,0.01,9.04,,1m
N1309-Y,50.52824,-15.40865,22918,42.03,0.81,24.97,0.38,0.76,0.54,0.02,8.99,,1m
N1309-Y,50.5283,-15.40526,68817,49.93,0.53,24.63,0.62,10.6,0.4,-0.01,9.11,,1m
N1309-Y,50.52661,-15.40578,71911,51.99,0.75,24.07,0.44,4.48,-0.18,-0.02,9.07,,1m
N1309-Y,50.52604,-15.40768,28132,52.24,1,24.89,0.35,1.29,0.24,0.01,9,,1m
N1309-Y,50.52808,-15.40923,69494,60.17,0.93,24.97,0.46,6.65,-0.05,0,8.97,,1m
N1309-Y,50.52958,-15.40892,19918,64.94,0.8,24.48,0.33,0.26,0.08,0.02,8.98,,1m
N1309-Y,50.53107,-15.40794,64757,65.03,1.09,24.27,0.29,1.12,0.24,0.02,9.01,,1m
IN-NIC-OI,184.68938,47.33554,118961,12.82,1.26,22.58,0.28,0.76,0.16,-0.06,8.9,rej,1m
IN-NIC-02,184.70089,47.34927,110213,11.6,1.18,23.2,0.32,0.71,0.2,-0.01,8.91,,1m
IN-NIC-02,184.69963,47.35114,113982,11.64,0.84,24.81,0.48,3.12,-0.14,0.04,8.9,rej,1m
IN-NIC-05,184.70311,47.31951,83857,28.13,0.76,22.05,0.25,4.61,0.32,—O. 04,8.93,,1m
IN-NIC-05,184.70506,47.32093,80885,65.23,1.13,20.91,0.2,0.32,0.14,-0.07,8.94,,1m
IN-NIC-06,184.70488,47.33184,91209,10.8,0.88,23.59,0.37,1.14,0.35,-0.09,8.94,,1m
IN-NIC-06,184.7032,47.32795,91129,11.16,1,23.25,0.39,1.4,0.4,-0.03,8.93,,1m
IN-NIC-07,184.71071,47.34988,95403,11.58,1.03,24.41,0.56,0.99,0.38,0,8.91,rej,1m
IN-NIC-07,184.70793,47.34997,100093,12.02,0.71,24.78,0.59,7.06,0.82,0.12,8.91,rej,1m
IN-NIC-08,184.71066,47.31184,57246,10.9,0.89,22.91,0.63,0.33,0.66,-0.05,8.94,rej,1m
IN-NIC-08,184.71169,47.30965,51416,11.09,0.77,22.81,0.44,5.43,0.4,0.06,8.94,rej,1m
IN-NIC-08,184.71509,47.31114,43119,23.81,0.85,22.56,0.32,5.17,0.65,0.15,8.96,,1m
IN-NIC-08,184.71112,47.31241,56661,23.83,0.68,23.04,0.36,0.22,0.05,-0.09,8.94,,1m
IN-NIC-08,184.71746,47.31136,36357,29.48,0.86,22.33,0.43,1.78,0.11,-0.1,8.96,,1m
IN-NIC-08,184.71239,47.30964,49279,36.12,0.94,21.44,0.19,1.74,0.03,0.27,8.94,,1m
IN-NIC-08,184.7144,47.31272,47358,50.89,0.85,21.63,0.2,0.3,0.16,-0.04,8.96,,1m
IN-NIC-08,184.71707,47.3116,37841,66.89,1.13,21.61,0.25,0.89,0.21,0.02,8.96,,1m
IN-NIC-08,184.71324,47.31224,50193,93.23,0.83,21.17,0.25,0.34,0.06,0,8.95,,1m
IN-NIC-08,184.71528,47.31138,42837,95.92,0.93,20.93,0.25,0.34,0.14,0.03,8.96,,1m
IN-NIC-09,184.71932,47.31409,34408,22.42,0.85,22.18,0.43,0.63,0.49,-0.08,8.97,,1m
IN-NIC-09,184.71746,47.31136,36357,29.48,0.86,22.16,0.29,0.58,0.42,-0.04,8.96,,1m
IN-NIC-09,184.71962,47.31407,33434,34.48,0.78,20.99,0.38,0.98,0.2,-0.01,8.98,rej,1m
IN-NIC-09,184.72344,47.31211,19435,39.53,0.82,20.7,0.33,0.39,0.18,0,8.99,rej,1m
IN-NIC-09,184.71707,47.3116,37841,66.89,1.13,21.48,0.25,6.3,0.79,-0.1,8.96,,1m
IN-NIC-IO,184.72821,47.31332,6616,16.99,0.93,22.83,0.37,5.96,0.64,0.02,9,,1m
IN-NIC-IO,184.72937,47.31691,8052,20.76,0.9,22.17,0.49,6.21,0.23,0.02,9,,1m
IN-NIC-IO,184.72616,47.31461,14643,22.04,1.92,22.05,0.63,2.99,-0.3,-0.04,8.99,,m
IN-NIC-IO,184.72389,47.31625,23741,22.68,1.43,22.77,0.32,1.78,0.03,-0.16,8.99,,1m
IN-NIC-IO,184.72948,47.31746,8361,23.79,1.22,21.97,0.33,0.89,0.35,0.11,8.99,,1m
IN-NIC-IO,184.72728,47.31776,15470,50.7,1.48,22.19,0.41,1.83,0.24,-0.04,8.99,,1m
IN-NIC-IO,184.72834,47.31586,9633,69.46,1.19,20.75,0.26,0.48,0.12,0.13,9,,1m
IN-NIC-II,184.72657,47.34519,54398,15.73,1.06,22.48,0.5,1.82,0.47,0.1,8.91,rej,1m
IN-NIC-12,184.72567,47.32182,25760,9.979,0.92,24.06,0.44,5.12,0.69,-0.07,8.98,,1m
IN-NIC-12,184.72505,47.32063,25811,10.3,0.9,23.26,0.68,2.82,0.37,-0.07,8.98,,1m
IN-NIC-12,184.72545,47.32166,26176,18.28,1.67,22.49,0.59,0.46,0.15,0.21,8.98,,1m
IN-NIC-12,184.72759,47.31971,17151,22.35,1.65,22.46,0.39,0.08,0.47,-0.1,8.99,,1m
IN-NIC-12,184.72948,47.31746,8361,23.79,1.22,22.41,0.4,0.98,0.35,-0.01,8.99,,1m
IN-NIC-12,184.73086,47.3212,9241,27.25,0.72,22.96,0.47,3.4,0.57,-0.01,8.98,,1m
IN-NIC-12,184.73086,47.32065,8480,37.63,0.76,21.29,0.26,0.36,0.04,-0.08,8.98,rej,1m
IN-NIC-12,184.72728,47.31776,15470,50.7,1.48,22.49,0.28,2.3,0.42,-0.06,8.99,rej,1m
